                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7926,                 4.1022,                 1.2101,                0.02607,                0.69408,                0.21857,                0.13442,                 1.1528,                 3.8788,                0.93211,             0.00019084,             0.00019084,             0.00019084
                      2,                  1.404,                 2.4002,                 1.0177,                0.82035,                0.20995,                0.41347,                0.28405,                 1.0899,                 2.6982,                0.95514,             0.00038301,             0.00038301,             0.00038301
                      3,                 1.3603,                   1.77,                0.99281,                 0.6154,                0.37329,                0.49019,                0.35828,                0.99179,                  1.634,                 0.9284,              0.0005713,              0.0005713,              0.0005713
                      4,                 1.3047,                  1.531,                0.98943,                0.70283,                0.62699,                0.67583,                0.46546,                 1.1038,                 1.3349,                 0.9304,             0.00057054,             0.00057054,             0.00057054
                      5,                 1.2488,                 1.3783,                0.97471,                0.66886,                 0.7398,                0.76876,                0.57109,                0.96716,                 1.1181,                 0.9224,             0.00057054,             0.00057054,             0.00057054
                      6,                 1.2453,                 1.2166,                0.97156,                0.79457,                0.76884,                0.85147,                0.63249,                0.95251,                 1.2296,                0.90998,             0.00056472,             0.00056472,             0.00056472
                      7,                 1.1809,                 1.1476,                0.94813,                0.88117,                0.76078,                0.89623,                 0.6724,                0.92461,                0.98429,                0.91235,             0.00055889,             0.00055889,             0.00055889
                      8,                 1.1609,                 1.0341,                0.94876,                0.91011,                0.90336,                0.95023,                0.72005,                0.92132,                0.88446,                0.90646,             0.00055307,             0.00055307,             0.00055307
                      9,                 1.1379,                0.96852,                0.94125,                0.91225,                0.91616,                0.96351,                0.72051,                0.94931,                0.84478,                0.90359,             0.00054725,             0.00054725,             0.00054725
                     10,                   1.11,                0.92334,                 0.9477,                 0.9318,                0.93433,                0.97287,                0.73474,                0.90803,                0.81332,                0.89225,             0.00054143,             0.00054143,             0.00054143
                     11,                 1.1184,                0.88387,                0.93849,                0.90554,                0.93042,                0.97041,                0.74689,                0.86992,                0.77884,                0.89385,             0.00053561,             0.00053561,             0.00053561
                     12,                 1.1087,                0.85255,                0.93974,                0.94103,                0.94974,                0.96838,                0.71497,                 0.9689,                0.73511,                 0.9079,             0.00052979,             0.00052979,             0.00052979
                     13,                 1.1125,                 0.8452,                0.93742,                0.95162,                0.95328,                0.97937,                0.75063,                0.88071,                0.65737,                0.89238,             0.00052397,             0.00052397,             0.00052397
                     14,                 1.0741,                0.83769,                0.93231,                0.92409,                0.89588,                0.96459,                0.73077,                0.87932,                0.72203,                0.90675,             0.00051815,             0.00051815,             0.00051815
                     15,                 1.0462,                0.80416,                0.92355,                0.93492,                0.91647,                0.96814,                0.73331,                0.91188,                0.71846,                0.90116,             0.00051232,             0.00051232,             0.00051232
                     16,                 1.0445,                0.77577,                0.92679,                0.94332,                0.94761,                0.97298,                0.76673,                0.82416,                0.64491,                0.89042,              0.0005065,              0.0005065,              0.0005065
                     17,                 1.0705,                0.76851,                0.93557,                0.96892,                0.95131,                0.97822,                0.72423,                0.98386,                0.74013,                0.91098,             0.00050068,             0.00050068,             0.00050068
                     18,                 1.0693,                0.76927,                0.92674,                0.94121,                 0.9792,                0.97927,                0.76769,                 0.8293,                0.63926,                0.88719,             0.00049486,             0.00049486,             0.00049486
                     19,                 1.0167,                0.74555,                0.92129,                0.96755,                 0.9334,                0.97241,                 0.7505,                0.84367,                0.63353,                0.89098,             0.00048904,             0.00048904,             0.00048904
                     20,                 1.0014,                0.71442,                0.91649,                 0.9655,                 0.9727,                 0.9797,                0.75478,                0.87163,                0.61518,                 0.8939,             0.00048322,             0.00048322,             0.00048322
                     21,                 1.0073,                0.70404,                0.91875,                0.96235,                0.96791,                0.98289,                0.76012,                0.87141,                0.61557,                0.89658,              0.0004774,              0.0004774,              0.0004774
                     22,                0.97617,                0.69067,                0.90882,                 0.9701,                0.97136,                0.98227,                0.77276,                0.83436,                0.57785,                0.88771,             0.00047158,             0.00047158,             0.00047158
                     23,                0.98995,                0.68579,                0.91706,                0.96168,                0.97989,                0.98326,                0.76738,                0.84984,                0.57493,                0.89674,             0.00046575,             0.00046575,             0.00046575
                     24,                0.99208,                0.69024,                0.91433,                0.96519,                0.97698,                0.98609,                0.77043,                0.85871,                0.55662,                0.89908,             0.00045993,             0.00045993,             0.00045993
                     25,                0.99655,                0.68194,                0.92436,                0.94449,                0.95861,                0.98269,                0.75576,                0.86535,                0.57666,                 0.9009,             0.00045411,             0.00045411,             0.00045411
                     26,                 1.0074,                0.67339,                0.92748,                0.97193,                0.98119,                0.98654,                 0.7842,                0.80753,                0.54652,                0.88561,             0.00044829,             0.00044829,             0.00044829
                     27,                0.96914,                0.66924,                0.91804,                 0.9664,                0.97976,                0.98564,                0.77685,                 0.8144,                0.54403,                0.88263,             0.00044247,             0.00044247,             0.00044247
                     28,                0.96117,                0.64972,                0.91354,                0.97678,                0.97285,                0.98227,                0.76554,                 0.8351,                0.57376,                0.89108,             0.00043665,             0.00043665,             0.00043665
                     29,                 0.9869,                0.66538,                0.91385,                0.97463,                0.97025,                0.98557,                0.73351,                0.97365,                0.58573,                0.91314,             0.00043083,             0.00043083,             0.00043083
                     30,                0.96529,                0.64864,                0.90783,                0.96175,                0.98037,                 0.9851,                0.76477,                0.87636,                 0.5624,                0.89259,             0.00042501,             0.00042501,             0.00042501
                     31,                0.93897,                0.61816,                0.91011,                0.97631,                0.97853,                0.98692,                0.77535,                0.82368,                0.53971,                0.88231,             0.00041919,             0.00041919,             0.00041919
                     32,                0.94769,                0.62817,                0.90112,                 0.9799,                0.97498,                0.98452,                0.79054,                0.79348,                0.51966,                 0.8808,             0.00041336,             0.00041336,             0.00041336
                     33,                0.92478,                 0.6203,                0.90305,                0.97086,                0.97542,                0.98837,                0.78169,                0.81146,                 0.5372,                0.88516,             0.00040754,             0.00040754,             0.00040754
                     34,                0.92943,                0.61304,                0.89977,                0.96366,                0.98235,                0.98588,                 0.7455,                0.92073,                0.55269,                 0.9019,             0.00040172,             0.00040172,             0.00040172
                     35,                0.93191,                0.61194,                0.90559,                0.96803,                0.96462,                0.98656,                0.77391,                0.81592,                0.52761,                 0.8866,              0.0003959,              0.0003959,              0.0003959
                     36,                0.91255,                0.60822,                0.90134,                0.98079,                0.98218,                0.98859,                0.78517,                0.81426,                 0.5081,                0.88467,             0.00039008,             0.00039008,             0.00039008
                     37,                0.92423,                0.59391,                0.90019,                0.97541,                0.97594,                0.98622,                0.77849,                0.81481,                0.51891,                0.88919,             0.00038426,             0.00038426,             0.00038426
                     38,                 0.9048,                0.58678,                0.90393,                0.96168,                 0.9839,                0.98503,                0.78387,                 0.8059,                 0.5141,                 0.8878,             0.00037844,             0.00037844,             0.00037844
                     39,                0.90593,                0.58972,                0.89624,                0.97002,                0.98309,                0.98581,                0.78518,                0.79779,                0.50851,                0.88003,             0.00037262,             0.00037262,             0.00037262
                     40,                0.92242,                 0.5862,                0.90092,                0.97772,                0.98031,                0.98577,                0.78499,                0.81688,                0.51287,                0.88643,             0.00036679,             0.00036679,             0.00036679
                     41,                0.90728,                0.57355,                 0.9042,                0.96937,                0.97977,                0.98684,                0.78798,                0.80241,                0.50542,                0.88682,             0.00036097,             0.00036097,             0.00036097
