                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.292,                 2.2809,                 1.0271,                0.49193,                0.72358,                0.63442,                  0.473,                0.94132,                  2.197,                0.90664,             0.00020591,             0.00020591,             0.00020591
                      2,                 1.0208,                 1.0641,                0.93611,                0.73305,                0.79965,                0.84948,                0.63353,                0.88533,                 1.0882,                0.90383,             0.00041014,             0.00041014,             0.00041014
                      3,                0.98035,                0.87403,                0.92583,                0.87245,                0.85098,                0.94124,                0.71509,                0.86291,                 0.7886,                0.89432,             0.00061025,             0.00061025,             0.00061025
                      4,                0.93283,                0.76005,                0.91333,                0.89182,                0.91811,                0.95319,                0.74215,                0.82988,                0.64202,                0.89417,             0.00060644,             0.00060644,             0.00060644
                      5,                0.92254,                0.68486,                0.90723,                 0.9188,                0.93672,                0.96991,                0.76085,                0.81791,                0.58558,                0.88551,             0.00060644,             0.00060644,             0.00060644
                      6,                0.90209,                0.65232,                 0.9052,                0.90018,                0.92715,                 0.9613,                 0.7464,                0.85517,                0.62819,                0.89776,             0.00060025,             0.00060025,             0.00060025
                      7,                0.91925,                0.62019,                0.90192,                0.93285,                0.94799,                0.97028,                0.77608,                0.79566,                0.53867,                0.88011,             0.00059406,             0.00059406,             0.00059406
                      8,                0.88384,                0.60041,                0.89914,                0.92934,                0.94895,                0.97168,                0.76113,                 0.8329,                0.52572,                0.89128,             0.00058787,             0.00058787,             0.00058787
                      9,                 0.8657,                0.57876,                0.90038,                0.94295,                0.93527,                0.96958,                0.75802,                0.82124,                0.51338,                0.89132,             0.00058169,             0.00058169,             0.00058169
                     10,                0.85605,                0.55119,                0.89258,                0.95048,                0.96454,                0.97722,                0.77763,                 0.8004,                0.48108,                0.88667,              0.0005755,              0.0005755,              0.0005755
                     11,                 0.8431,                0.54195,                 0.8922,                0.92328,                0.95295,                0.95863,                0.77111,                0.79115,                0.50544,                0.88091,             0.00056931,             0.00056931,             0.00056931
                     12,                0.84263,                0.54144,                0.89168,                0.95485,                 0.9236,                0.97416,                0.77952,                0.78064,                0.47849,                0.87985,             0.00056313,             0.00056313,             0.00056313
                     13,                0.81822,                0.51623,                0.88574,                0.95605,                0.94903,                0.97834,                0.78959,                0.79729,                0.44878,                0.88292,             0.00055694,             0.00055694,             0.00055694
                     14,                0.81389,                0.49512,                0.88509,                0.95299,                0.95135,                0.97679,                0.78881,                0.77193,                0.44748,                0.87434,             0.00055075,             0.00055075,             0.00055075
                     15,                0.81445,                0.50285,                 0.8786,                 0.9447,                0.94404,                0.97808,                0.79024,                0.77341,                0.46541,                0.87569,             0.00054456,             0.00054456,             0.00054456
                     16,                0.80388,                0.49321,                0.88368,                0.96162,                0.93563,                0.97889,                 0.7863,                0.79555,                0.45788,                0.88374,             0.00053838,             0.00053838,             0.00053838
                     17,                0.80427,                0.48851,                0.88458,                0.96386,                0.96084,                0.98311,                0.79151,                0.79554,                0.43121,                0.88223,             0.00053219,             0.00053219,             0.00053219
                     18,                0.80271,                   0.47,                0.88151,                0.95189,                0.94575,                0.97299,                0.78714,                0.75118,                0.43116,                0.86965,               0.000526,               0.000526,               0.000526
                     19,                0.78732,                0.45989,                0.87672,                0.95053,                0.95181,                0.97807,                0.78582,                0.78398,                0.42939,                0.87758,             0.00051981,             0.00051981,             0.00051981
                     20,                0.77223,                0.46422,                0.87398,                0.93204,                0.93808,                0.96433,                0.77337,                 0.7742,                0.49446,                0.87774,             0.00051363,             0.00051363,             0.00051363
                     21,                 0.8012,                0.46298,                0.88763,                0.95679,                0.95446,                0.97714,                0.78647,                0.75167,                 0.4223,                0.87262,             0.00050744,             0.00050744,             0.00050744
                     22,                0.76965,                0.45089,                0.87216,                0.95276,                0.96871,                0.98152,                0.79747,                0.76812,                0.40162,                0.87415,             0.00050125,             0.00050125,             0.00050125
                     23,                0.77953,                0.45361,                0.87864,                0.95361,                0.94072,                0.97582,                0.77644,                0.78761,                0.42021,                0.88316,             0.00049506,             0.00049506,             0.00049506
                     24,                0.77182,                0.43676,                 0.8754,                0.96023,                0.95381,                0.97725,                0.79551,                0.75198,                0.42582,                0.87061,             0.00048888,             0.00048888,             0.00048888
                     25,                0.76921,                0.44141,                0.87765,                0.95641,                 0.9599,                 0.9786,                0.79024,                0.79302,                0.42439,                0.87707,             0.00048269,             0.00048269,             0.00048269
                     26,                0.76098,                0.43183,                0.87228,                0.96274,                0.94361,                0.97856,                0.80295,                0.74234,                0.43832,                0.86774,              0.0004765,              0.0004765,              0.0004765
                     27,                0.74524,                0.42627,                0.86698,                 0.9608,                0.96788,                0.97761,                0.80105,                0.75243,                    0.4,                0.86938,             0.00047031,             0.00047031,             0.00047031
                     28,                0.75395,                0.42079,                0.87008,                0.95563,                0.95383,                0.97709,                0.78633,                0.78243,                0.42904,                0.87312,             0.00046413,             0.00046413,             0.00046413
                     29,                0.73591,                0.41257,                0.86488,                0.95811,                0.96098,                0.98121,                0.80176,                0.74378,                0.40577,                0.86788,             0.00045794,             0.00045794,             0.00045794
                     30,                0.73169,                0.40692,                0.86905,                0.94538,                 0.9524,                0.98135,                0.79902,                0.75004,                0.42145,                 0.8685,             0.00045175,             0.00045175,             0.00045175
                     31,                0.74341,                0.40971,                0.87002,                0.94972,                0.93258,                0.97596,                0.79636,                0.75537,                0.42439,                 0.8688,             0.00044556,             0.00044556,             0.00044556
                     32,                0.72796,                0.41422,                0.86698,                0.96363,                 0.9395,                0.97763,                0.80071,                0.75647,                0.40671,                0.87117,             0.00043937,             0.00043937,             0.00043937
                     33,                0.71923,                0.40354,                0.86291,                0.94538,                0.95343,                0.97702,                0.79744,                0.75186,                0.41115,                0.87006,             0.00043319,             0.00043319,             0.00043319
                     34,                0.72812,                  0.403,                0.86796,                0.94731,                0.96875,                0.97771,                0.80671,                 0.7359,                0.38607,                0.86783,               0.000427,               0.000427,               0.000427
                     35,                0.73757,                0.40479,                0.86772,                0.97362,                0.96154,                0.98417,                0.80628,                0.74079,                0.35579,                0.86768,             0.00042081,             0.00042081,             0.00042081
                     36,                0.71747,                 0.3939,                0.86574,                0.94564,                0.95178,                 0.9802,                0.80262,                0.76167,                0.40413,                0.87113,             0.00041462,             0.00041462,             0.00041462
                     37,                0.70516,                0.38947,                 0.8563,                0.95373,                0.95736,                0.98464,                0.81382,                0.76383,                 0.3858,                0.87216,             0.00040844,             0.00040844,             0.00040844
                     38,                0.70951,                0.38869,                0.85897,                0.95367,                0.96684,                0.98364,                 0.7998,                0.75789,                 0.3871,                0.87148,             0.00040225,             0.00040225,             0.00040225
                     39,                0.71242,                0.38699,                0.85894,                0.95856,                0.95638,                0.97651,                0.80649,                0.73255,                0.41454,                0.86523,             0.00039606,             0.00039606,             0.00039606
                     40,                0.70261,                0.37755,                0.85689,                0.95157,                 0.9565,                   0.98,                0.80476,                0.75274,                0.40275,                0.86868,             0.00038988,             0.00038988,             0.00038988
                     41,                0.69758,                0.38435,                0.85876,                0.96517,                0.96227,                0.98196,                0.80822,                0.75715,                0.36988,                0.86914,             0.00038369,             0.00038369,             0.00038369
                     42,                 0.6987,                0.37632,                0.85689,                0.96067,                0.96591,                0.98129,                 0.8104,                0.76897,                0.36526,                0.87357,              0.0003775,              0.0003775,              0.0003775
                     43,                0.68942,                0.37588,                0.85815,                0.96917,                0.97088,                0.98133,                0.80527,                0.76511,                 0.3732,                0.87029,             0.00037131,             0.00037131,             0.00037131
                     44,                0.68981,                0.37179,                0.86166,                0.95233,                0.95965,                0.97977,                0.80377,                0.74438,                0.37508,                0.86742,             0.00036513,             0.00036513,             0.00036513
                     45,                0.69466,                0.37446,                0.85859,                0.96824,                0.96017,                0.97883,                0.80313,                0.75191,                0.37138,                 0.8718,             0.00035894,             0.00035894,             0.00035894
                     46,                0.68868,                0.36728,                0.85818,                0.95429,                0.96023,                0.98128,                0.80258,                 0.7561,                0.39059,                0.87314,             0.00035275,             0.00035275,             0.00035275
                     47,                0.68438,                0.37294,                0.86133,                0.94017,                0.95275,                0.97792,                0.80305,                0.75123,                0.41324,                0.86929,             0.00034656,             0.00034656,             0.00034656
                     48,                0.68568,                0.36868,                0.85327,                0.92618,                0.95589,                0.96567,                0.79063,                0.74501,                0.43567,                0.86805,             0.00034038,             0.00034038,             0.00034038
                     49,                0.67464,                0.36028,                0.85711,                0.94909,                0.95586,                0.97524,                0.80547,                0.74151,                0.38314,                0.86811,             0.00033419,             0.00033419,             0.00033419
                     50,                0.67151,                0.36341,                0.85134,                 0.9404,                0.96028,                0.97517,                0.80393,                0.75631,                0.38598,                0.86914,               0.000328,               0.000328,               0.000328
                     51,                  0.672,                0.35868,                0.85639,                0.94904,                0.94781,                0.98079,                0.80901,                0.74901,                0.39722,                0.87131,             0.00032181,             0.00032181,             0.00032181
                     52,                0.66148,                0.35814,                0.84919,                0.95304,                0.96078,                0.96611,                 0.7895,                0.75986,                0.39508,                0.86987,             0.00031562,             0.00031562,             0.00031562
                     53,                0.66346,                0.35141,                0.85267,                 0.9682,                0.95229,                 0.9791,                0.80355,                0.77737,                0.38481,                0.87608,             0.00030944,             0.00030944,             0.00030944
                     54,                0.65994,                0.35148,                0.85172,                0.94779,                0.93434,                0.96582,                0.79361,                0.75345,                0.40153,                 0.8692,             0.00030325,             0.00030325,             0.00030325
                     55,                 0.6616,                0.35136,                0.85632,                0.94335,                0.94714,                0.96509,                0.79577,                 0.7563,                 0.4033,                0.87121,             0.00029706,             0.00029706,             0.00029706
                     56,                 0.6564,                0.35047,                 0.8474,                0.94564,                0.94849,                0.97369,                0.79876,                0.76141,                0.38237,                0.87474,             0.00029088,             0.00029088,             0.00029088
                     57,                0.64398,                0.34525,                0.84677,                0.95066,                0.94832,                0.97586,                 0.8094,                0.74445,                0.38644,                0.86968,             0.00028469,             0.00028469,             0.00028469
                     58,                0.64977,                0.34082,                0.85027,                0.93577,                0.95795,                0.97201,                0.80005,                0.75078,                0.42441,                0.87101,              0.0002785,              0.0002785,              0.0002785
                     59,                0.64238,                0.34089,                0.84734,                0.94546,                  0.952,                0.97968,                0.80606,                0.74926,                0.36886,                0.87216,             0.00027231,             0.00027231,             0.00027231
                     60,                 0.6372,                0.33579,                0.84836,                0.96098,                0.95459,                0.97871,                0.80462,                0.74741,                0.36783,                0.86863,             0.00026613,             0.00026613,             0.00026613
                     61,                0.64013,                 0.3421,                0.84264,                0.95642,                0.96343,                 0.9825,                0.80258,                0.76086,                0.36847,                 0.8741,             0.00025994,             0.00025994,             0.00025994
                     62,                0.63471,                0.33092,                0.84881,                0.97431,                0.96764,                0.98358,                0.80728,                0.74642,                0.33974,                0.87031,             0.00025375,             0.00025375,             0.00025375
                     63,                0.62117,                0.33013,                0.84191,                 0.9728,                0.96911,                0.98268,                0.80851,                0.75249,                 0.3465,                0.87243,             0.00024756,             0.00024756,             0.00024756
                     64,                0.63248,                0.33202,                0.84973,                0.96052,                0.96917,                 0.9863,                0.81255,                0.73788,                0.34311,                0.86906,             0.00024137,             0.00024137,             0.00024137
                     65,                0.61855,                0.33136,                0.83338,                 0.9656,                0.95772,                0.98529,                0.80794,                0.75934,                0.36005,                0.87632,             0.00023519,             0.00023519,             0.00023519
                     66,                0.62038,                0.33062,                0.84532,                0.96111,                0.96889,                0.98229,                0.80786,                0.75232,                0.36716,                0.87319,               0.000229,               0.000229,               0.000229
                     67,                 0.6225,                0.32776,                0.84222,                0.95625,                0.96651,                0.98425,                0.81375,                0.75122,                0.36575,                0.87289,             0.00022281,             0.00022281,             0.00022281
                     68,                0.62097,                0.33048,                0.84142,                0.96182,                0.95936,                0.97942,                0.80211,                0.75866,                0.34787,                0.87352,             0.00021662,             0.00021662,             0.00021662
                     69,                0.60821,                0.32401,                0.84182,                0.96123,                0.94782,                0.98068,                0.81018,                0.74323,                0.36789,                0.86997,             0.00021044,             0.00021044,             0.00021044
                     70,                 0.6077,                0.32545,                0.84284,                0.97525,                0.96893,                0.98454,                0.81311,                0.73599,                   0.34,                0.86949,             0.00020425,             0.00020425,             0.00020425
                     71,                0.60168,                0.31838,                0.83803,                0.96637,                 0.9668,                0.98176,                0.80842,                0.74911,                0.35071,                0.87359,             0.00019806,             0.00019806,             0.00019806
                     72,                0.60111,                0.31502,                0.84154,                 0.9651,                0.95098,                0.96887,                 0.7991,                0.74468,                0.38947,                 0.8734,             0.00019188,             0.00019188,             0.00019188
                     73,                0.60389,                0.31177,                 0.8446,                0.95569,                0.96384,                0.97646,                0.80012,                 0.7544,                0.37653,                0.87508,             0.00018569,             0.00018569,             0.00018569
                     74,                0.60142,                0.31194,                0.83993,                0.96903,                0.95094,                0.97537,                0.80293,                0.74848,                0.38312,                0.87321,              0.0001795,              0.0001795,              0.0001795
                     75,                0.60189,                0.31368,                  0.842,                0.96834,                0.95169,                0.97898,                0.81023,                0.74302,                0.37574,                0.87228,             0.00017331,             0.00017331,             0.00017331
